Date,Price,Open,High,Low,Vol.,Change %
8/1/2024,"1,226.96","1,251.51","1,257.85","1,222.51",897.26K,-1.96%
07/31/2024,"1,251.51","1,245.06","1,255.77","1,245.06",748.85K,0.52%
07/30/2024,"1,245.06","1,246.60","1,248.73","1,236.97",653.07K,-0.12%
07/29/2024,"1,246.60","1,242.11","1,249.68","1,242.11",496.87K,0.36%
07/26/2024,"1,242.11","1,233.19","1,242.11","1,233.19",458.79K,0.72%
07/25/2024,"1,233.19","1,238.47","1,238.47","1,226.20",484.41K,-0.43%
07/24/2024,"1,238.47","1,231.81","1,242.40","1,218.65",740.26K,0.54%
07/23/2024,"1,231.81","1,254.64","1,258.74","1,231.81",728.38K,-1.82%
07/22/2024,"1,254.64","1,264.78","1,267.43","1,245.02",923.63K,-0.80%
07/19/2024,"1,264.78","1,274.44","1,279.94","1,260.68",791.80K,-0.76%
07/18/2024,"1,274.44","1,268.66","1,274.67","1,256.21",739.04K,0.46%
07/17/2024,"1,268.66","1,281.18","1,290.76","1,256.42",1.23M,-0.98%
07/16/2024,"1,281.18","1,279.82","1,291.47","1,279.37",684.26K,0.11%
07/15/2024,"1,279.82","1,280.75","1,286.37","1,276.27",573.51K,-0.07%
7/12/2024,"1,280.75","1,283.80","1,288.67","1,277.16",606.31K,-0.24%
7/11/2024,"1,283.80","1,285.94","1,293.32","1,283.80",697.23K,-0.17%
7/10/2024,"1,285.94","1,293.71","1,297.96","1,285.94",751.00K,-0.60%
7/9/2024,"1,293.71","1,283.56","1,294.15","1,283.56",821.81K,0.79%
7/8/2024,"1,283.56","1,283.04","1,287.14","1,277.68",766.90K,0.04%
7/5/2024,"1,283.04","1,279.89","1,284.98","1,276.93",616.50K,0.25%
7/4/2024,"1,279.89","1,276.85","1,283.13","1,274.58",523.46K,0.24%
7/3/2024,"1,276.85","1,269.79","1,278.14","1,268.23",589.51K,0.56%
7/2/2024,"1,269.79","1,254.56","1,270.47","1,254.56",528.47K,1.21%
7/1/2024,"1,254.56","1,245.32","1,254.56","1,240.07",487.19K,0.74%
06/28/2024,"1,245.32","1,259.09","1,262.61","1,240.15",840.43K,-1.09%
06/27/2024,"1,259.09","1,261.24","1,262.49","1,255.12",596.99K,-0.17%
06/26/2024,"1,261.24","1,256.56","1,262.67","1,247.55",878.37K,0.37%
06/25/2024,"1,256.56","1,254.12","1,260.07","1,250.25",835.30K,0.19%
06/24/2024,"1,254.12","1,282.02","1,284.84","1,252.66",1.25M,-2.18%
06/21/2024,"1,282.02","1,282.30","1,288.06","1,279.44",834.75K,-0.02%
06/20/2024,"1,282.30","1,279.79","1,286.54","1,273.54",932.55K,0.20%
06/19/2024,"1,279.79","1,279.50","1,284.14","1,270.66",1.00M,0.02%
06/18/2024,"1,279.50","1,274.77","1,286.52","1,274.77",805.29K,0.37%
06/17/2024,"1,274.77","1,279.91","1,283.10","1,272.54",900.56K,-0.40%
06/14/2024,"1,279.91","1,301.51","1,305.02","1,279.91",1.11M,-1.66%
06/13/2024,"1,301.51","1,305.69","1,306.01","1,297.60",891.33K,0.10%
6/12/2024,"1,300.19","1,284.41","1,301.35","1,281.71",895.26K,1.23%
6/11/2024,"1,284.41","1,290.67","1,296.41","1,279.47",993.34K,-0.49%
6/10/2024,"1,290.67","1,287.58","1,297.39","1,287.44",858.65K,0.24%
6/7/2024,"1,287.58","1,283.56","1,293.03","1,283.13",698.28K,0.31%
6/6/2024,"1,283.56","1,288.79","1,292.02","1,278.40",893.07K,-0.06%
6/5/2024,"1,284.35","1,283.52","1,293.93","1,283.52",925.06K,0.06%
6/4/2024,"1,283.52","1,280.00","1,289.31","1,280.00",935.85K,0.28%
6/3/2024,"1,280.00","1,261.72","1,284.48","1,261.72",1.05M,1.45%
05/31/2024,"1,261.72","1,266.32","1,271.07","1,261.43",771.15K,-0.36%
05/30/2024,"1,266.32","1,272.64","1,272.64","1,251.80",1.05M,-0.50%
